nombre,precio,correo
Macbook Air M1,759.0,pipemendezri@gmail.com
Lenovo ThinkPad,5000.0,otrocorreo@example.com
Brock-Porter,500.01,meyerstacey@example.org
Morgan Group,3764.13,james86@example.org
"Anderson, Miller and Potts",2406.24,daniel93@example.net
"Ross, Schneider and Turner",2853.85,johnsonpatricia@example.net
Kramer-Scott,2985.28,pcarter@example.com
Miller Ltd,1367.76,danielholmes@example.com
"Stout, Alvarado and Lin",3612.02,zachary09@example.net
Meyer LLC,568.59,turnerchristopher@example.org
Russell PLC,2033.36,sherrypetty@example.net
Johnson Ltd,472.09,leondavis@example.com
Lawrence Group,716.53,susanturner@example.org
"Mason, Clayton and Delgado",2592.98,reedtyler@example.net
Mcintyre-Goodman,842.75,david92@example.net
Brown LLC,3053.01,barbara79@example.net
"Rodriguez, Macias and Duncan",2198.16,michellephelps@example.net
Knight and Sons,547.81,kimberlycarter@example.org
Todd PLC,2762.56,james04@example.org
"Silva, Schneider and Kramer",2396.95,sydneystephens@example.org
Smith-Taylor,326.72,james14@example.com
Sandoval-Gonzales,614.35,fcurry@example.org
Bernard Inc,2548.35,jonathanvincent@example.net
"Pacheco, Andrade and Fields",3867.61,lhoward@example.org
Nguyen LLC,3199.74,alicia43@example.com
"Schwartz, Larson and Haney",909.23,tammy57@example.net
Parker-Wood,1870.95,robertstodd@example.org
Campbell Ltd,3233.97,mcdonaldchristopher@example.net
Porter PLC,585.54,karenchapman@example.net
"Phillips, Adams and Morse",1039.65,hannahward@example.com
"Smith, Evans and Johnson",188.67,jeremycurtis@example.net
Reeves Group,2928.45,petersonlisa@example.org
Johnson Inc,4069.51,richardsonbrian@example.com
Jackson PLC,4946.83,haydencompton@example.org
Stanley-Simon,1544.93,sextonbrooke@example.org
"Hernandez, Garcia and Haney",2570.88,ryan23@example.net
"Morgan, Singleton and Cook",3636.0,swillis@example.net
Diaz-Atkins,3384.77,wfloyd@example.com
Harris-Young,1663.19,jimenezjustin@example.com
Dodson-Diaz,4223.61,piercejoseph@example.net
"Alexander, Clark and Wu",490.05,grimessarah@example.com
"Watts, Pratt and Shepherd",3769.12,ievans@example.com
"Diaz, Townsend and Oneill",4319.04,wilsonemily@example.net
Franklin Inc,4752.35,kevinclark@example.org
Perry-Martinez,170.03,jefferyingram@example.com
Medina-Wood,2143.79,jorgegonzalez@example.net
Woodward-Fleming,2951.41,fwalker@example.net
Bennett-Wright,3416.32,lking@example.com
"Delgado, Reed and Duncan",4415.26,francoeugene@example.net
"Carter, Flynn and Cross",717.11,cummingsangela@example.org
Jones and Sons,4605.24,jacob99@example.com
White-Ruiz,527.48,taylortommy@example.org
Morris-Frazier,1965.17,barbararomero@example.net
Finley-Gray,703.99,karenrobinson@example.org
White-Phillips,4379.25,john49@example.net
Cunningham Group,1836.18,msaunders@example.com
"Richardson, Hess and Moore",2151.23,ngarrett@example.org
"Thompson, Perez and Costa",2138.02,gainesstacy@example.com
Stafford Inc,2743.13,dhughes@example.org
Murphy-Martin,4691.18,buckleybrooke@example.org
"Wagner, Lane and Castro",4312.98,ediaz@example.org
Horton-Powers,3218.3,lisasmith@example.org
Henry LLC,4407.21,smithmark@example.org
"Hale, Watts and Buckley",4833.59,dtaylor@example.net
Randall-Atkinson,2415.29,hgoodman@example.com
Sanchez Group,872.69,sabrinacamacho@example.net
Gray-Wong,1338.04,evansmichael@example.net
Shaw-Foster,4143.85,andreaallison@example.org
Gutierrez and Sons,1399.69,robinsonrebecca@example.net
"Oliver, Porter and Rogers",3299.52,randy16@example.net
Ramirez-Eaton,2673.99,yrose@example.com
Foster Group,1305.18,contrerasjulie@example.com
Hicks-Bonilla,1223.16,clarkejoseph@example.org
King-Goodwin,356.33,watsonanne@example.com
Williams-Hall,678.57,morrisonkyle@example.com
Stein LLC,1846.0,sharon70@example.org
"Davis, White and Smith",3772.34,cabreraandrew@example.net
"Price, Carlson and Pace",2929.0,ricediana@example.com
Anderson-Robinson,3246.47,matthewdixon@example.net
"Ramirez, Bailey and Davis",4693.59,rodriguezbrittany@example.org
Salinas Group,3314.78,rachelwilson@example.net
Ford-Oneill,4639.27,hpalmer@example.com
Hunt-Anderson,1040.02,chale@example.com
"Williams, Wilson and Mueller",3818.84,josephbell@example.org
Mcgrath and Sons,1709.41,qvaughan@example.net
Rice-Rubio,3290.39,timothy74@example.com
Lopez Group,3407.31,kaufmansarah@example.net
Bray-Wright,3229.92,olivia00@example.org
Douglas-Watkins,1634.9,jameschaney@example.org
Riley-Jackson,4255.55,candacewheeler@example.org
Craig-Wade,4270.38,jared56@example.com
Flores Group,1593.45,jonesmichael@example.net
Martin-Morgan,2200.62,tylerperez@example.net
"Diaz, Perry and Banks",524.26,tthompson@example.org
Harper PLC,1225.1,josephsimmons@example.org
"Payne, Parker and Hoffman",3250.15,marcdelacruz@example.org
"Dudley, Gray and Arias",3954.54,jennifer03@example.net
Knight PLC,4031.84,debbie92@example.org
Richardson and Sons,2984.83,caldwelldonna@example.com
Smith-Richardson,4935.0,jenniferjohnson@example.net
